"","LOC58500","FLJ23311","GMFG","FLJ20232","ENPP2","FLJ11068","MAPK7","MGC2508","C21orf91","PAPOLB","KIAA1239","KIAA0751","SPN","LOC51186","POU2F2","MGC2840","NSG-X","RAB13","FLJ12517","KIAA1033","BST1","label"
"GSM249685",3.37785089732467,0.844175195602542,2.73490312770931,4.23412171391856,2.96347412397489,3.4512896237118,3.29977495264881,2.64550404265621,1.39949664838307,3.85845470882117,5.36823621019698,1.93141291474259,-0.0776208971224739,2.2829339632715,5.71398378053897,0.234121713918555,1.26303440583379,0.603167096098747,-0.230429740401866,3.9982814827737,2.60090404459018,"control"
"GSM249686",3.47913489206225,1.29005757960034,2.29747505116282,2.90284376254582,2.06518416876014,4.39231742277876,3.68355492805286,3.36257007938471,0.741806857235705,4.00981685836021,5.12164234167126,1.944386024789,-0.0874628412503394,2.73271612116485,5.43497857491276,-0.0619277491432018,2.76339371944385,1.39980298558368,0.572787786775054,4.06663193109025,2.50178701787392,"control"
"GSM249687",2.93859945533586,1.05748549466076,1.70853718583969,2.28389768744955,2.17901901200079,4.13697027848758,3.06030051026781,2.12088057594927,1.17642656738427,3.51589210789729,5.4713778230334,0.970374830890722,0.342887713523009,1.49211372229748,4.84579599836168,0.976348731935355,1.29110517142046,0.352106243552387,-0.284303022587445,3.13162695741327,1.54532552848381,"control"
"GSM249688",4.05547964622406,1.74220224253235,2.67191092048596,3.51211193531347,2.83150878376638,3.58386913572689,4.32847094075413,1.5405683813627,2.01305615282545,3.43052858102134,5.3120578508633,1.70648032029839,-0.850622375961773,2.53605290024021,4.08977547071839,0.32716474325351,2.36838740598002,1.14937762403823,0.0641303374197156,3.99753876248372,2.48073513184552,"control"
"GSM249689",2.1426043954428,2.05062607306997,2.12553088208386,4.2330593463883,3.06525000766675,3.2684888359259,3.46707617898364,5.01253384724771,1.77487261094231,3.55896729218821,4.69863702511523,1.97638744277805,-0.622930350920177,2.9668331360648,6.09502019242842,0.0641303374197156,2.27431007465462,0.527629325655204,-0.0188590272513159,3.45857971720074,3.15842936260448,"control"
"GSM249690",3.4016722411928,3.30288233919682,3.44647319282567,3.51565675797167,1.81745551202657,3.21646758737934,5.18841995022898,0.688871305965161,1.27220272110739,3.8258189849612,4.33838934158653,1.56644920306983,-0.407175381505874,3.33916854497619,6.12137781885962,0.57705730263581,2.17952845321171,0.232493011305418,0.285200061636262,3.03119462160359,3.19252189175431,"control"
"GSM249691",3.44588508679935,2.17142234982881,2.4471218593062,1.59615491559136,2.69211845474935,3.24863697745635,3.22719980679406,2.40191622758867,2.43844210361379,4.10519869549859,4.85612005318507,0.684797768300951,-0.28203536776385,2.36705747037702,3.56573382273966,0.983046866718803,2.03332007320003,0.650850436377613,-0.164038158365398,3.81599671519668,2.94415785332521,"control"
"GSM249692",4.57723513869655,3.23292308882862,2.48057446196303,4.19908504784438,2.967263213588,3.87950470781344,4.3632549571763,2.60131049480864,2.36804001974167,4.1930303617051,5.84516834394318,0.877828130006056,-0.156119201917282,3.88869121957677,5.48250633509459,-0.660911353954455,1.84044171411595,0.758991900496205,-0.0501857571682168,2.91916892538696,3.68038206579984,"control"
"GSM249693",4.97003831413486,2.53237553862694,2.22170064714871,3.59220617304778,3.53905469426456,3.48213794149646,6.35128017936363,1.41018809961745,1.52566531703738,4.92006305025719,5.7613281157213,1.35447866703116,-0.437808806937502,2.7751849163967,7.52771314568624,-0.619255678275034,1.46733200672106,1.25656491050424,0.915257799758765,3.91782259161807,3.43008765705515,"control"
"GSM249694",2.90565699566941,2.04551465925237,2.50901364748786,3.13350451239565,2.09397614820901,3.18728862038053,3.22733824394125,5.19992397037828,1.81788558954977,3.85542755191075,4.82768876458013,2.10046018177921,-1.50404250533759,2.37459367356773,6.46771004398381,0.44930740136359,1.94821745789745,1.32192809488736,0.415037499278844,3.1852566551983,3.53158140439313,"control"
"GSM249695",2.51618422273574,1.2975439362604,2.15823591566372,3.25131710687569,2.47473693816675,2.76351840076447,3.07938049495248,1.23042974040187,1.27607240595758,3.51724049737052,4.31242667093891,1.55647394376146,-0.906386949228508,2.21922261172216,3.87291128020037,1.03778466245947,1.30081906829326,1.05534303384377,0.281055813471834,2.80620306966836,2.89880824931066,"control"
"GSM249696",4.5398331252315,3.46349898823549,3.28103006370536,4.06942891842008,3.97286387006249,4.93499113111648,4.00948961273868,5.16293857112621,2.97057931686793,3.76184026280524,6.33951808178782,1.16093621821506,-1.26482768765684,3.2004645824017,6.87586857000074,-0.791758067006586,2.33619466396041,0.581972458115345,0.921748554335632,3.58570904409662,3.42062718097448,"control"
"GSM249697",2.49516583037051,2.34984679845234,2.47889744122576,1.95793594043346,1.54574119092344,2.86539553429068,3.45035803501184,1.43969955351311,0.85626452253855,3.14107944440881,4.35187847748249,1.25402403038556,-0.344911412888202,1.6914828243722,2.33184356375245,1.31860773659575,1.29176612437711,0.644519345401611,-0.334419039070559,2.89913117215041,2.44732078117238,"metastasis"
"GSM249698",3.11674932317284,2.12814807913302,2.43760892462023,3.9516322782412,2.24444021408813,3.28166422467363,3.40174067666539,3.69636142555701,2.00660273482425,3.15959363730542,4.96355896593092,1.51952805477252,-0.492059919502689,2.47736838147876,3.52125825091141,1.38916261058592,1.63482769879807,0.3298477581836,0.0583641625139888,3.76903407576167,3.55655878571749,"control"
"GSM249699",2.60976589172173,1.91188550552891,2.50348109858251,4.31649735573054,2.66734744331251,2.2128301988182,3.4594316186373,2.209227962138,1.0165828841956,3.45639596251277,4.94420848557389,2.96304640531154,-1.18670071419314,3.41086182330765,5.92539579193515,0.542651695863192,2.1522115603251,0.774825137992225,0.882784386128145,3.28219123369322,3.33686124186387,"control"
"GSM249700",2.14105186341337,1.29231643877682,1.59900606764516,2.71811727953284,2.35094416874753,2.29032054953865,2.65695341685444,0.744112488065785,0.730437551168708,3.49134641768582,3.41187916700744,1.52737992114771,-0.958272874390277,4.83568687591402,3.87617045305014,0.655920337654634,0.950304097846129,-0.183832574805408,-0.586591744305815,2.24981171026229,2.33166510625265,"control"
